Type	SeqNo	RetxCount
BestRoute	1071	1
BestRoute	1072	1
BestRoute	1073	1
BestRoute	1074	1
BestRoute	1075	1
BestRoute	1076	1
BestRoute	1077	1
BestRoute	1078	1
BestRoute	1079	1
BestRoute	1080	1
BestRoute	1081	1
BestRoute	1082	1
BestRoute	1083	1
BestRoute	1084	1
BestRoute	1085	1
BestRoute	1086	1
BestRoute	1087	1
BestRoute	1088	1
BestRoute	1089	1
BestRoute	1090	1
BestRoute	1091	1
BestRoute	1092	1
BestRoute	1093	1
BestRoute	1094	1
BestRoute	1095	1
BestRoute	1096	1
BestRoute	1097	1
BestRoute	1098	1
BestRoute	1099	1
BestRoute	1100	1
BestRoute	1101	1
BestRoute	1102	1
BestRoute	1103	1
BestRoute	1104	1
BestRoute	1105	1
BestRoute	1106	1
BestRoute	1107	1
BestRoute	1108	1
BestRoute	1110	1
BestRoute	1111	1
BestRoute	1113	1
BestRoute	1115	1
BestRoute	1117	1
BestRoute	1118	1
BestRoute	1120	1
BestRoute	1122	1
BestRoute	1124	1
BestRoute	1125	1
BestRoute	1127	1
BestRoute	1129	1
BestRoute	1131	1
BestRoute	1132	1
BestRoute	1134	1
BestRoute	1136	1
BestRoute	1138	1
BestRoute	1139	1
BestRoute	1141	1
BestRoute	1143	1
BestRoute	1145	1
BestRoute	1146	1
BestRoute	1148	1
BestRoute	1150	1
BestRoute	1152	1
BestRoute	1153	1
BestRoute	1155	1
BestRoute	1157	1
BestRoute	1159	1
BestRoute	1160	1
BestRoute	1162	1
BestRoute	1164	1
BestRoute	1166	1
BestRoute	1167	1
BestRoute	1169	1
BestRoute	1171	1
BestRoute	1173	1
BestRoute	1174	1
BestRoute	1176	1
BestRoute	1178	1
BestRoute	1180	1
BestRoute	1181	1
BestRoute	1183	1
BestRoute	1185	1
BestRoute	1187	1
BestRoute	1188	1
BestRoute	1190	1
BestRoute	1192	1
BestRoute	1194	1
BestRoute	1195	1
BestRoute	1197	1
BestRoute	1199	1
BestRoute	1201	1
BestRoute	1202	1
BestRoute	1204	1
BestRoute	1206	1
BestRoute	1208	1
