Type	SeqNo	Delay
BestRoute	414	1005.950000
BestRoute	416	1005.240000
BestRoute	400	1027.460000
BestRoute	402	1026.750000
BestRoute	405	1023.910000
BestRoute	407	1023.200000
BestRoute	409	1022.500000
BestRoute	412	1021.790000
BestRoute	423	1164.330000
BestRoute	426	1163.620000
BestRoute	428	1165.280000
BestRoute	430	1164.570000
BestRoute	433	1161.740000
BestRoute	435	1161.030000
BestRoute	437	1160.320000
BestRoute	440	1159.610000
BestRoute	442	1158.900000
BestRoute	419	1183.710000
BestRoute	444	1159.610000
BestRoute	421	1184.420000
BestRoute	447	1158.200000
BestRoute	449	1157.490000
BestRoute	451	1156.780000
BestRoute	454	1156.070000
BestRoute	507	119.198000
BestRoute	508	121.324000
BestRoute	509	122.033000
BestRoute	510	124.159000
BestRoute	511	124.867000
BestRoute	512	126.993000
BestRoute	513	127.702000
BestRoute	514	129.828000
BestRoute	515	130.537000
BestRoute	516	132.663000
BestRoute	456	1297.900000
BestRoute	458	1297.190000
BestRoute	461	1294.360000
BestRoute	463	1293.650000
BestRoute	465	1292.940000
BestRoute	468	1292.230000
BestRoute	470	1291.520000
BestRoute	472	1290.820000
BestRoute	475	1287.980000
BestRoute	477	1287.270000
BestRoute	479	1286.560000
BestRoute	482	1285.850000
BestRoute	484	1285.150000
BestRoute	486	1284.440000
BestRoute	489	1281.600000
BestRoute	491	1280.890000
BestRoute	493	1280.190000
BestRoute	496	1279.480000
BestRoute	498	1278.770000
BestRoute	500	1278.060000
BestRoute	503	1275.220000
BestRoute	505	1274.520000
BestRoute	517	119.198000
BestRoute	518	121.324000
BestRoute	519	121.324000
BestRoute	520	123.450000
BestRoute	521	123.450000
BestRoute	522	125.576000
BestRoute	523	125.576000
BestRoute	524	127.702000
BestRoute	525	127.702000
BestRoute	526	129.828000
BestRoute	527	129.828000
BestRoute	528	131.954000
BestRoute	529	131.954000
BestRoute	530	134.080000
BestRoute	531	134.080000
BestRoute	532	136.206000
BestRoute	533	136.206000
BestRoute	534	138.332000
BestRoute	535	138.332000
BestRoute	536	140.458000
BestRoute	537	131.289000
BestRoute	538	133.415000
BestRoute	539	134.124000
BestRoute	540	136.250000
BestRoute	541	136.958000
BestRoute	542	139.084000
BestRoute	543	139.793000
BestRoute	544	141.919000
BestRoute	545	142.628000
BestRoute	546	144.754000
BestRoute	547	145.462000
BestRoute	548	147.588000
BestRoute	549	148.297000
BestRoute	550	150.423000
BestRoute	551	151.132000
BestRoute	552	153.258000
BestRoute	553	153.966000
BestRoute	554	156.092000
BestRoute	555	156.801000
BestRoute	556	158.927000
BestRoute	557	159.636000
BestRoute	558	161.762000
BestRoute	559	162.470000
BestRoute	560	164.596000
BestRoute	561	165.305000
BestRoute	562	167.431000
BestRoute	563	168.140000
BestRoute	564	170.266000
BestRoute	565	170.974000
BestRoute	566	173.100000
BestRoute	567	173.809000
BestRoute	568	175.935000
BestRoute	569	176.644000
BestRoute	570	178.770000
BestRoute	572	179.478000
BestRoute	574	180.187000
BestRoute	575	180.896000
BestRoute	577	181.604000
BestRoute	579	182.313000
BestRoute	581	125.434000
BestRoute	582	127.560000
BestRoute	583	127.560000
BestRoute	584	129.686000
BestRoute	585	129.686000
BestRoute	586	131.812000
BestRoute	587	131.812000
BestRoute	588	133.938000
BestRoute	589	133.938000
BestRoute	590	136.064000
BestRoute	591	136.064000
BestRoute	592	138.190000
BestRoute	593	138.190000
BestRoute	594	140.316000
BestRoute	595	140.316000
BestRoute	596	142.442000
BestRoute	597	142.442000
BestRoute	598	144.568000
BestRoute	599	144.568000
BestRoute	600	146.694000
BestRoute	601	146.694000
BestRoute	602	148.820000
BestRoute	603	148.820000
BestRoute	604	150.946000
BestRoute	605	150.946000
BestRoute	606	153.072000
BestRoute	607	153.072000
BestRoute	608	155.198000
BestRoute	609	155.198000
BestRoute	610	157.324000
BestRoute	611	157.324000
BestRoute	612	159.450000
BestRoute	613	159.450000
BestRoute	614	161.576000
BestRoute	615	161.576000
BestRoute	616	163.702000
BestRoute	617	163.702000
BestRoute	618	165.828000
BestRoute	619	165.828000
BestRoute	620	167.954000
BestRoute	622	167.954000
BestRoute	623	167.954000
BestRoute	625	167.954000
BestRoute	627	167.954000
BestRoute	629	167.954000
BestRoute	630	170.080000
BestRoute	632	170.080000
BestRoute	634	170.080000
BestRoute	636	170.080000
BestRoute	637	170.080000
BestRoute	639	170.080000
BestRoute	641	170.080000
BestRoute	643	170.080000
BestRoute	644	172.206000
BestRoute	646	172.206000
BestRoute	648	172.206000
BestRoute	650	172.206000
BestRoute	651	172.206000
BestRoute	653	172.206000
BestRoute	655	172.206000
BestRoute	657	172.206000
BestRoute	658	174.332000
BestRoute	660	174.332000
